title,author,content,category
Start demolition of Supertech's 40-storey twin tower in Noida within 2 weeks: SC,Ridham Gambhir,The Supreme Court on Monday ordered that the demolition works of Supertech’s 40-storied twin towers in Noida will start within two weeks. The court also directed NOIDA CEO to convene a meeting within 72 hours to finalise the schedule for demolition. It had also asked Supertech to refund the money with interest to all home-buyers by February 28.,business
The focus is on growth and adoption for Digital India: Windmill Capital,Roshan Gupta,"Union Budget 2022 is focused on promoting digital economy, fintech and technology-enabled development, said Windmill Capital Pvt Ltd, a SEBI-registered research analyst- INH200007645. They added that unchanged financial support from government for this ecosystem will encourage further adoption of digital payments. WCPL creates baskets of stocks called smallcases on themes like digital inclusion.",business
"COVID, you did your worst & stole our voice: Mahindra as Mangeshkar is cremated",Sakshita Khosla,"Businessman Anand Mahindra on Sunday shared a picture from veteran singer Lata Mangeshkar's funeral and said, ""COVID-19, you did your worst while leaving. (You) stole our voice. I hate you."" The 92-year-old Bharat Ratna awardee was laid to rest with full state honours in the presence of Prime Minister Narendra Modi in Mumbai on Sunday evening.",business
RBI's digital rupee blockchain would be able to trace all transactions: Report,Pragya Swastik,"The digital rupee blockchain being developed by the RBI would be able to trace all transactions, unlike the current system of mobile wallets offered by private companies, PTI reported. The units issued in the digital rupee would be included in the currency in circulation, it added. The RBI's digital currency is likely to debut by early 2023.",business
"Meta says data regulations may cause Facebook, Instagram shutdown in Europe",Pragya Swastik,"Meta in its annual report to the US SEC said it might have to stop operating Instagram and Facebook in Europe due to data regulations. Meta said the regulations could adversely affect its ability to target ads, thus impacting its financial results. Meta said the services couldn't be offered in Europe if a new transatlantic data transfer framework isn't adopted.",business
"Wishy-washy words not needed, say sorry: Shiv Sena MP to Hyundai India",Pragya Swastik,"Shiv Sena's MP Priyanka Chaturvedi tweeted to Hyundai India, ""Wishy-washy words not needed...All you need to say is - we're unequivocally sorry."" Hyundai India had issued a statement after Hyundai Pakistan's social media posts supported separatists in Kashmir. Hyundai India said, ""The unsolicited post linking Hyundai Motor India is offending our unparalleled service to this great country.""",business
We deeply apologise: KFC India after brand's Pak account shares post on Kashmir,Ridham Gambhir,"KFC India on Monday issued an apology after its Pakistan arm shared a social media post supporting 'Kashmir Day' on February 5, which led to a controversy. Taking to Twitter, KFC wrote, ""We deeply apologise for a post that was published on some KFC social media channels outside the country. We...respect India, and remain steadfast in...serving... Indians with pride.""",business
"Adani Wilmar shares to debut on BSE, NSE tomorrow",Pragya Swastik,"The shares of one of India's largest FMCG companies, Adani Wilmar, will debut on the Bombay Stock Exchange (BSE) and the National Stock Exchange (NSE) on Tuesday. Adani Wilmar's IPO was subscribed 17.37 times during January 27-31, with support from all kinds of investors. The listing price could be around ₹265/share against the issue price of ₹230/share, according to experts.",business
Hyundai India issues statement after Hyundai Pak's social media posts on Kashmir,Pragya Swastik,"Hyundai India issued a statement on Sunday after Hyundai Pakistan's social media posts supported ""Kashmiri brothers"" in their ""struggle for freedom"", which were later deleted. As Indian users called for the Hyundai brand's boycott, Hyundai India said, ""The unsolicited social media post linking Hyundai Motor India is offending our unparalleled commitment and service to this great country.""",business
"Sensex falls over 1,000 points to end at 57,621 dragged by financial, FMCG stocks",Pragya Swastik,"The Sensex on Monday slumped 1,023 points to settle at 57,621, dragged by financial, auto, IT and FMCG stocks. The Nifty 50 index fell 302 points to close at 17,213 points. A sharp cut in Monday's trading session comes amid heavy selling by FIIs amid rising US bond yields and crude oil prices.",business
UK company spends ₹1 cr to take all employees on holiday for working in pandemic,Pragya Swastik,"UK-based Yolk Recruitment is spending over £100,000 (over ₹1 crore) to take all of its 55 employees on a holiday to thank them for working through the COVID-19 pandemic. It's taking them on an all-expense-paid trip to Tenerife, the largest of Spain's Canary Islands. Chief Commercial officer Pavan Arora said, ""We want to thank employees for the last two years.""",business
"Sensex falls over 1,100 points, Nifty trades below 17,200-mark",Pragya Swastik,"The Sensex fell over 1,100 points during intra-day trade on Monday to trade at 57,423 while the Nifty slumped over 300 points to trade below the 17,200-mark. Both the indices had opened over 0.25% lower earlier in the day and slipped further. Except oil & gas, PSU bank, metal and power all other sectoral indices were trading in the red.",business
Tesla's bitcoin holding worth nearly $2 billion as of Dec 31,Ashley Paul,"Tesla on Monday said in its annual filing with the US Securities and Exchange Commission that its bitcoin holdings' fair market value as of December 31, 2021 was $1.99 billion. The company added that it registered about $101 million in impairment losses last year due to bitcoin's value. Tesla also briefly accepted crypto as payment for sales of certain products.",business
"Toshiba to split into 2 companies instead of 3, spin off devices unit",Hiral Goyal,Toshiba has announced that it will now split into two companies instead of three after facing fierce criticism from activist shareholders. The Japanese conglomerate will now spin off its devices business. It will use 300 billion yen ($2.6 billion) of excess capital for shareholder returns over two years. Toshiba said that the new plan is simpler and would save costs.,business
Tourism body calls for commercial flight operations in full strength,Ashley Paul,"The Federation of Associations in Indian Tourism and Hospitality (FAITH) asked the government to resume commercial flight operations in India in full strength. The country's inbound and outbound travel industry has been shut for the past 23 months, FAITH said in a statement. The body urged the Tourism Ministry to resume commercial flights ""with zero quarantine to fully vaccinated travellers"".",business
"Macquarie cuts Paytm's target price, Goldman Sachs upgrades stock to 'buy'",Hiral Goyal,"Brokerage firm Macquarie on Monday retained its ""underperform"" rating on Paytm's stock and cut its target price to ₹700. Meanwhile, Goldman Sachs upgraded Paytm's stock to ""buy"" from ""neutral"" with a target price of ₹1,460, revised from ₹1,600 earlier. The development comes after Paytm parent, One97 Communications, reported a net loss of ₹778.4 crore in the quarter ended December.",business
Govt prepared to deal with any global development: Nirmala Sitharaman,Ashley Paul,"Finance Minister Nirmala Sitharaman on Sunday said India is ready to deal with any situation arising out of global developments. She urged corporates to take advantage of India's economic recovery and step up investment. ""It's time now for us as Team India to rise. We are at such a juncture where revival of the economy is very clear,"" Sitharaman said.",business
RBI's Monetary Policy Committee meeting rescheduled to February 8-10,Hiral Goyal,"The meeting of the Monetary Policy Committee (MPC) has been rescheduled to February 8-10, 2022 after Maharashtra government declared February 7 as a public holiday as a mark of respect to late veteran singer Lata Mangeshkar. The meeting was earlier scheduled for February 7-9, 2022. It will be the MPC's last meeting during the financial year 2021-22.",business
"SEBI should hear views of companies on Chairperson, MD posts separation: FM",Ashley Paul,"Finance Minister Nirmala Sitharaman said if companies have a view on the decision to separate posts of Chairperson and MD in listed companies, the Securities and Exchange Board of India (SEBI) should hear them. ""I am not giving them diktat,"" Sitharaman said. Listed entities are required to comply with the norms before the April 2022 deadline.",business
"Billionaire Bloomberg's housekeeper abducted at gunpoint, later rescued",Hiral Goyal,"A housekeeper at Colorado ranch of billionaire Michael Bloomberg was abducted by a man at gunpoint this week and has been freed unharmed. Joseph Beecher, who forced the housekeeper to drive them to Wyoming, has been taken into custody and jailed without bond. Michael Bloomberg said he was ""deeply grateful"" to law enforcement for ""ensuring that no lives were lost"".",business
"Around 6.17 cr I-T returns, 19 lakh audit reports filed on new portal: CBDT",Ashley Paul,"The Central Board of Direct Taxes said that around 6.17 crore income tax returns and about 19 lakh tax audit reports have been filed on the new income tax e-filing portal. Of the 6.17 crore returns filed till February 6, 48%, or 2.97 crore, are ITR-1, while 27%, or 1.65 crore, are ITR-4 and 13%, or 81.6 lakh, are ITR-3.",business
"₹50,000 cr Self Reliant India fund likely to benefit 5,000 MSMEs: Rane",Ashley Paul,"MSME Minister Narayan Rane said the ₹50,000 crore Self Reliant India fund, announced by Finance Minister Nirmala Sitharaman in May 2020, is likely to benefit around 5,000 MSME units. The fund will make equity investments in MSMEs for their growth, listing on stock markets, and global expansion. The government is its sole anchor investor with initial support of ₹10,000 crore.",business
LIC ropes in 6 independent directors to meet corporate governance norms,Ashley Paul,"IPO-bound Life Insurance Corporation of India (LIC) last month appointed six independent directors on its board to meet regulatory norms of corporate governance. LIC reportedly appointed ex-Financial Services Secretary Anjuly Chib Duggal, ex-SEBI member G Mahalingam, ex-SBI Life Managing Director Sanjeev Nautiyal, and Chartered Accountants MP Vijay Kumar, Raj Kamal, and V S Parthasarathy.",business
MSMEs get extension till March 31 for registering on Udyam,Ashley Paul,"MSMEs have been granted extension by the MSME Ministry for migrating to the Udyam registration portal that was launched on July 1, 2020. The deadline has been moved from December 31, 2021 to March 31, 2022. MSMEs not registered on Udyam can continue to avail benefits of provisions under various existing schemes and incentives, including priority sector lending till March-end.",business
We're keeping watch on global inflationary pressures: Sitharaman,Hiral Goyal,"Finance Minister Nirmala Sitharaman said, ""We're fairly watchful of what's happening as regards global developments...US Fed's decisions, as also regards global inflationary pressures."" Speaking at a post-budget interaction, she added that the government will not allow the economy to suffer for lack of preparation. She said an opportunity was missed after the global financial crisis of 2008-09.",business
Lata Mangeshkar raised ₹20 lakh for India's 1983 World Cup-winning team: Sharmila Tagore,Anmol Sharma,"Talking about late singer Lata Mangeshkar, veteran actress Sharmila Tagore said that Mangeshkar raised funds with her brother for the Indian cricket team after they won the 1983 World Cup. ""She was very fond of cricket...They raised  ₹20 lakh for the team and players were awarded with ₹1 lakh each...At the time BCCI didn't have that much money"" she added.",sports
India-Pakistan T20 World Cup 2022 match tickets sold out within minutes,Anmol Sharma,"Tickets for India-Pakistan T20 World Cup 2022 match, to be held at the Melbourne Cricket Ground, were sold within minutes, ICC's data showed. India and Pakistan will begin their Super 12 campaign by facing each other on October 23. India and Pakistan last faced each other in the T20 World Cup 2021, with Pakistan winning the match by 10 wickets.",sports
I never said anyone made me submit to a sexual assault: Peng Shuai to French newspaper,Anmol Sharma,"Chinese tennis player Peng Shuai, who allegedly accused former Chinese vice premier Zhang Gaoli of sexual assault in a now-deleted social media post in November 2021, told a French newspaper that ""international concern"" over her well-being is based on ""an enormous misunderstanding"". ""Sexual assault? I never said...anyone made me submit to a sexual assault,"" the newspaper quoted her as saying.",sports
"Cummins must explain what the hell is going on, Aussies aren't stupid: Clarke on Langer",Anmol Sharma,"Ex-Australia captain Michael Clarke has urged Australia Test captain Pat Cummins to give Australian public a ""clear opinion"" on his role in Justin Langer's resignation as head coach despite being offered a six-month contract extension. ""Australian public isn't stupid...Cummins needs to explain to past players, fans and cricket lovers, what the hell is going on here?"" Clarke added.",sports
"BCCI shares pics of Dravid bowling, says 'Celebrating 23rd anniversary of Kumble's 10-74'",Anmol Sharma,"The BCCI took to Twitter to share pictures of Team India head coach Rahul Dravid bowling during a training session. ""Celebrating the 23rd anniversary of Anil Kumble's 10-74,"" the BCCI wrote. Kumble became the second bowler in Test cricket history to take ten wickets in an innings by registering figures of 26.3-9-74-10 against Pakistan on February 7, 1999 in Delhi.",sports
"On a scale of 10, I will give him 9.99: Sunil Gavaskar on Rohit Sharma's captaincy",Anmol Sharma,"After Rohit Sharma's first match as full-time ODI captain, ex-India captain Sunil Gavaskar said, ""On a scale of 10, I'll give him 9.99."" Talking about Rohit scoring 60(51) in India's win, Gavaskar said, ""He contributed to...win in terms of scoring...with what is his specialty...that is batting."" He added Rohit got ""everything right"" in terms of bowling changes and field placements.",sports
"COVID +ve athlete shares pic of food served at Winter Olympics, says 'I cry every day'",Anmol Sharma,"Russia's biathlon competitor Valeria Vasnetsova, who is among athletes to have tested COVID-19 positive at Winter Olympics in Beijing, took to Instagram Stories to share picture of food served to them, calling it ""inedible"". Vasnetsova wrote, ""My stomach hurts...I'm very pale...I want all this to end. I cry every day...My bones are already sticking out.""",sports
Pete Davidson booed in Syracuse after earlier calling city 'trash',Kriti Kambiri,"Comedian Pete Davidson on Saturday was booed at Syracuse's Carrier Dome during a basketball game after appearing on the jumbotron. He had earlier called the city 'trash'. Pete was seen laughing and clapping amid the booing. Sportswriter Mike Curtis later posted a video of Pete saying, ""Thank you so much for having me...We had a really great time. So, peace?""",sports
"Worked on bowling side-arm, googly is my strong weapon: Chahal",Amartya Sharma,"India spinner Yuzvendra Chahal has said that he worked on bowling side-arm when he was out of Team India. ""Googly is my strong weapon. The more I bowl it, the more I'll achieve success,"" he added. After taking four wickets against West Indies in the first ODI, Chahal became the second fastest Indian spinner to scalp 100 wickets in ODIs.",sports
Collingwood named interim England head coach for West Indies Test tour,Anant Kaur,"England men's assistant coach Paul Collingwood has been appointed interim head coach for their three-match Test series against West Indies in March, ECB confirmed. Collingwood said, ""I can't wait to get started...my objective is to give players clarity, direction...encouragement for them to start building something special."" Collingwood took charge of England's T20 tour of West Indies last month.",sports
Pollard said 'Why aren't you flicking like in IPL': Suryakumar on 1st ODI,Anant Kaur,"Revealing what Kieron Pollard said to him in first India-West Indies ODI, India batter Suryakumar Yadav said West Indies skipper told him mid-wicket area was open and asked why wasn't he flicking the ball like he does in IPL. ""But it was different here...I wanted to stay there till...end,"" Suryakumar added. Pollard and Suryakumar play for MI in IPL.",sports
Successful hosting of ATP Pune event amid COVID positive message: Organisers,Anant Kaur,"Successful hosting of Tata Maharashtra Open in Pune amid COVID-19 pandemic has given a ""positive"" message to the world and proven critics, who demean India, wrong, said the tournament organisers on Monday. No main draw player was infected and no match was cancelled in the ATP 250 event, country's biggest tennis tournament. Notably, 600 tests were conducted over 10 days.",sports
Unity a factor behind Cricket Australia's decision: CA CEO Hockley,Arnab Mukherji ,"Talking about Cricket Australia offering a short-term contract extension as head coach to Justin Langer, which was followed by Langer stepping down, Cricket Australia CEO Nick Hockley said ""unity"" was a factor behind this decision. ""In the middle of 2021, we did have some challenging conversations, and some issues. These decisions are not...always going to be popular,"" added Hockley.",sports
"It's a shame Silverwood is not with the team, he was such a good guy: Moeen",Ankur Taliyan,"England all-rounder Moeen Ali has said it's a shame that Chris Silverwood has stepped down as the team's head coach. ""Silverwood can go with a lot of respect because he was such a good guy...but at the end of the day everything is about results and we had a poor Ashes...people always get sacked after [these tours],"" he added.",sports
I want to come back as the old Natarajan: Natarajan,Amartya Sharma,"India fast bowler T Natarajan has said he is nervous about his comeback in cricket after taking a long break due to a knee injury. Natarajan missed out on IPL 2021 and T20 World Cup 2021 due to the injury. ""Just want to keep...focusing on my yorkers and cutters. I want to come back as the old Natarajan,"" he stated.",sports
Hardik Pandya to miss Ranji Trophy to focus on white-ball cricket,Ankur Taliyan,"All-rounder Hardik Pandya will not take part in the upcoming Ranji Trophy to focus on white-ball cricket. Last week, BCCI President Sourav Ganguly had said he expected Pandya to bowl some overs in the tournament. The Ranji Trophy will be held in two phases this year, with the first phase beginning on February 10 and going on till March 15.",sports
Rohit was spot on with his captaincy in 1st ODI vs WI: Harbhajan ,Amartya Sharma,"Ex-India spinner Harbhajan Singh said Rohit Sharma was ""spot on"" with his captaincy in the first ODI against West Indies and added he rotated the bowlers ""nicely"" during the match. ""I saw [Rohit] was giving a lot of encouragement to all the bowlers...he gives a lot of freedom to the bowlers,"" Harbhajan stated. ""That's exactly what...bowler would require,"" he added.",sports
One of the greatest comebacks: KKR CEO on team's IPL 2021 campaign ,Amartya Sharma,"KKR CEO Venky Mysore said his team's comeback during the second leg of the IPL 2021 will be considered as ""one of the greatest comebacks"" in IPL history. KKR were seventh on the points table after the first leg, but they entered the playoffs after winning five of their seven matches in the second leg. ""Break...came at...right time,"" Venky stated.",sports
Making tough runs in ODIs vs Eng has been best thing for me: Alyssa,Amartya Sharma,"Australia batter Alyssa Healy has said that scoring ""tough runs"" against England in the two ODIs of the Women's Ashes series has been the ""best thing"" for her. She stated that she is in good shape after playing in tough conditions in these matches. This comes ahead of the Women's ODI World Cup that will be played in New Zealand.",sports
Leader always remains a leader: Ajay Jadeja on Kohli giving inputs in 1st ODI,Anant Kaur,"Referring to ex-India captain Virat Kohli giving inputs in Rohit Sharma's first ODI as a full-time limited-overs skipper in first of three-match ODI series against West Indies, ex-India cricketer Ajay Jadeja said Kohli has always been a leader. ""Kohli wasn't a backbencher who became captain...leader always remains a leader,"" he added. Kohli helped Rohit in taking a successful DRS review.",sports
Dream come true to receive India debut cap from Kohli: Deepak Hooda,Anant Kaur,"Deepak Hooda, who made his Team India debut against West Indies in first ODI on Sunday, said receiving the cap from ex-skipper Virat Kohli was a dream come true moment for the all-rounder. ""Truly honoured and blessed on getting the opportunity to represent my country,"" tweeted Hooda. The 26-year-old scored an unbeaten 32-ball 26 in his side's six-wicket win.",sports
Thought tournament ended for me: Rasheed on having COVID during U-19 WC,Anant Kaur,"India Under-19 batter Shaik Rasheed, who was affected by COVID-19 during Under-19 World Cup 2022, said he never thought that he would have another chance in the tournament. ""Regular testing and 15-day quarantine...I thought the tournament has ended for me,"" he added. Rasheed scored 84-ball 50 in final to help his side clinch their record fifth Under-19 World Cup title.",sports
Easiest solution for RCB will be if Kohli becomes captain again: Agarkar,Anant Kaur,"Talking about RCB's captaincy, ex-India pacer Ajit Agarkar said Virat Kohli taking over captaincy again in IPL 2022 will be the easiest solution for RCB, despite stepping down from the role after IPL 2021. Kohli was retained for ₹15 crore ahead of IPL mega auction 2022. The 33-year-old, who has been with RCB since its inception, became captain in 2013.",sports
Want to create an impact in IPL 2022: Karthik on India comeback,Amartya Sharma,"Wicketkeeper Dinesh Karthik said he wants to ""create an impact"" in the upcoming IPL 2022 as he wants to play for India for the next ""three to four years"". The 36-year-old added, ""Age is...not the thing...a lot of normal people look at it (for India comeback). Shikhar Dhawan was India's highest run-getter (in ODIs in South Africa)...we're the same age.""",sports
